"","DISTRICT","UPAZILLA","UNION","MOUZA","RL","LATITUDE","LONGITUDE","GWL04","GWL05","GWL06","GWL07","GWL08","GWL09","GWL10","GWL11","GWL12","GWL13","GWL14","GWL15","GWL16","GWL17","GWL18","Type","Median","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","lithology","Plan_curvature","Profile_curvature","Slope","SPI","STI","TWI","TRI","SoilSy","FID"
"4967","Sylhet","Sylhet Sadar","Lala Bazar",NA,NA,24.93,91.818,NA,7.278136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPHE",7.278136,-1,0.216315,0.0628386,14,9296.56,16,0,0,0,0.451583720681576,0.0552073035815575,9.10497985631836,17.7482,0.0309773,5431
"4968",NA,NA,NA,"BO017",NA,24.93,89.39,6.46,6.555,6.645,7.235,7.115,7.24,7.495,NA,7.21,7.39,NA,7.32,7.375,6.945,NA,"BWDB",7.2225,135,0,0.0845833,19,1100.23,16,0,0,0.333097,4.40229993673539,1.64839360801277,10.1240949707046,14.6629,0.0589167,5432
"4969","Bogra","Dubchachia","Gunahar",NA,NA,24.931,89.112,NA,7.62,NA,NA,8.5344,9.144,9.144,NA,10.267371,10.3632,10.668,NA,NA,10.3632,NA,"DPHE",9.705685,251.565,-0.108158,0.124818,21,6601.43,3,0,0.108158,0.744795,3.27872616422179,1.34082191134736,7.66420322849252,13.2665,0.0182788,5434
"4970","Sherpur","Sherpur Sadar","Rauha Betmari","Char Khar Char",15.2,24.93142,90.07756,4.52,NA,NA,NA,NA,NA,4.93,5.52,6.04,6.44,NA,NA,NA,6.96672,NA,"BADC",5.78,-1,0,0.102821,17,695.845,6,0,0,0,4.0625016333258,0.481856332071015,12.7158977689626,8.48528,0.109931,5435
"4971","Sherpur","Nakla","Pathakata","Pathakata",15.8,24.932,90.1914,4.67,NA,NA,NA,NA,NA,4.67,5.27,5.84,6.8,NA,NA,NA,6.52357,NA,"BADC",5.555,270,-0.216315,0.125965,19,2938.32,16,0,0.216315,1.88363,4.13264312514325,4.06631387524597,6.81061344434884,12.6491,0.0902047,5436
"4972","Netrakona","Netrokona Sadar","Medni","Baroari",11.95,24.9323,90.75003,10.95,NA,NA,NA,NA,NA,12.89,13.28,15.26,16.18,NA,NA,NA,17.8325,NA,"BADC",14.27,-1,0,0.127644,11,3793.07,5,0,0,0,1.83787808180147,0.126833077615914,10.4912742174382,10.198,0.0435606,5437
"4973","Sylhet","Kotwali","Mogalgaon","Banagaon",9.7361,24.93231,91.77775,3.63,NA,NA,NA,NA,NA,3.31,3.58,3.85,4.25,NA,NA,NA,6.67968,NA,"BADC",3.74,341.565,-0.108158,0.0856254,14,6818.92,16,0,0.108158,0.744795,4.78280356099806,3.30596770475101,9.16828062526879,16,0.0299964,5438
"4974","Sylhet","Kotwali","Mogalgaon","Banagaon",9.7361,24.93231,91.77775,3.45,NA,NA,NA,NA,NA,3.31,3.58,3.85,4.25,NA,NA,NA,7.32671,NA,"BADC",3.715,341.565,-0.108158,0.0856254,14,6818.92,16,0,0.108158,0.744795,4.78280356099806,3.30596770475101,9.16828062526879,16,0.0299964,5439
"4975","Nawabganj","Bholahat","Bholahat","Sikari",26.24,24.93269,88.16936,10.37,NA,NA,NA,NA,NA,17.86,15.23,15.8,16.44,NA,NA,NA,13.3254,NA,"BADC",15.515,135,-0.216315,0.0242773,26,5481.8,5,-0.108158,0.108158,1.33216,7.8049077701497,29.3212803518316,11.134558851413,21.166,0.04136,5440
"4976","Naogaon","Mohadevpur","Tetulia",NA,NA,24.933,88.83,NA,10.0584,10.3632,NA,11.2776,14.3256,16.764,16.1544,16.4592,17.3736,18.288,NA,NA,NA,NA,"DPHE",16.1544,45,0,0.116494,19,2406.74,3,0,0,0.333097,3.99683482862723,1.29242742883172,9.71862986259644,14.6629,0.0725253,5441
"4977","Jamalpur","Madarganj","Karaichara","Dhalirbanda",17.3,24.93332,89.76846,4.27,NA,NA,NA,NA,NA,5.027,6.15,5.14,5.03,NA,NA,NA,4.78617,NA,"BADC",5.0285,161.565,0.216315,0.108485,21,2917.57,6,0.216315,0,1.48934,3.2177431680943,2.01143625704105,6.3390759276073,14.6629,0.113518,5442
"4978","Mymensingh","Phulpur","Payari","Darji Payari",14.06,24.93377,90.34972,7.49,NA,NA,NA,NA,NA,6.72,6.09,6.37,6.66,NA,NA,NA,6.53281,NA,"BADC",6.596405,0,-0.108158,0.10318,18,6143.48,6,0,0.108158,0.942067,2.79548430920377,1.1620639597061,6.76118852263607,13.6015,0.076844,5443
"4979","Chapai Nababganj","Gomostapur","Gomostapur",NA,NA,24.935,88.396,NA,19.812,19.5072,NA,19.5072,20.1168,20.4216,20.7264,7.668768,7.62,7.9248,NA,NA,19.812,NA,"DPHE",19.6596,185.194,-0.216315,0.0285586,19,2123.02,6,-0.156828,0.0594866,2.59982,4.84670569639582,7.74097889315788,6.90782194787112,12.3288,0.0483512,5446
"4980","Bogra","Gabtali","Nepaltali",NA,NA,24.935,89.46,NA,NA,5.1816,NA,5.4864,5.4864,5.4864,5.4864,NA,5.7912,6.4008,NA,NA,5.1816,NA,"DPHE",5.4864,-1,0,0.123002,19,2461.1,16,0,0,0,7.81295914965892,4.57298074551157,16.4663552852957,8.94427,0.0807794,5447
"4981","Sunamganj","Chatak","Jaua Bazar",NA,NA,24.935,91.637,NA,NA,4.2672,NA,4.572,4.572,4.572,4.2672,NA,NA,NA,NA,NA,NA,NA,"DPHE",4.572,270,-0.324473,0.138783,11,330,16,0,0.324473,2.35405,10.0643375542621,165.745976255665,12.3164733100549,14.2478,0.0242001,5448
