"Bore","Latitude","Longitude","Total_Dept","Elevation","Aspect","Curvature","Drainage_density","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","Sy","TRI","SPI1","STI1","TWI1","response6","response4"
2898,22.60324,89.02218,259.067358,3,45,0,0.0388309,4251.54,10,0,0,0.333097,0.0297458,6.32456,5.49598428041037,12.5855889335989,7.28043056426731,"1","1"
2899,22.62261,88.96667,259.067358,5,135,0,0.020743,9660.42,9,0,0,0.333097,0.0297264,7.48331,5.07920144504602,13.8583112459921,5.86630140415398,"1","1"
2900,22.58387,89.04379,259.067358,3,-1,0,0.0588604,3364.82,10,0,0,0,0.0297887,0,5.49598428041037,12.5855889335989,7.28043056426731,"1","1"
2901,22.59039,88.97322,204,5,-1,0,0.0233571,9462.52,9,0,0,0,0.0298083,0,8.39338744971854,101.230160936346,9.1804874088265,"1","1"
2902,22.57213,88.98384,335.263639,5,180,-0.216315,0.0254018,9123.16,10,-0.162236,0.0540788,0.942067,0.0299522,6.245,10.0420460753059,272.214925285778,10.8291460344139,"1","1"
2903,22.58336,89.01526,186,3,-1,0,0.0378071,5685.85,10,0,0,0,0.029941,0,7.32053357246142,37.6104523273826,9.10497985631836,"1","1"
2904,22.58892,89.00572,222,7,23.1986,0.43263,0.033788,6285.13,10,0.346104,-0.086526,3.58293,0.029941,8.48528,4.7193995898974,14.0341786995632,4.84229997927704,"1","1"
2905,22.57674,88.9991,132,3,45,0,0.0291169,7477.29,10,0,0,0.333097,0.029941,8.48528,6.97758882133459,30.6157673313894,8.76203510519153,"1","1"
2906,22.56693,88.98903,219.45,10,45,0.43263,0.0263383,8926.75,10,0.189276,-0.243354,0.999202,0.0300235,10.9087,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2907,22.30148,89.05693,289.54587,2,14.0362,-0.216315,0.0299702,13161,10,0,0.216315,1.94155,0.0302048,4.58258,4.88284743215251,6.63730061898837,7.44675177971482,"1","1"
2908,22.90614,88.92059,259.067358,3,45,0,0.00701301,3989.1,9,0,0,0.333097,0.0294379,5.19615,10.9174038440924,325.513573803854,12.7018501279493,"1","1"
2909,22.90547,88.92012,189,4,225,0.216315,0.00701301,4011.03,9,0.135197,-0.0811181,0.999202,0.0294379,5.19615,4.1668636872676,6.88864681051769,5.39140778961405,"1","1"
2910,22.88848,88.94487,259.067358,6,321.34,0.216315,0.0118686,6995.21,9,0.108158,-0.108158,3.01358,0.0294415,7.4162,4.56624486555315,11.5307785432346,4.99410599214505,"1","1"
2911,22.88097,88.93291,222,7,225,0.108158,0.00701301,7007.55,9,0.216315,0.108158,0.666172,0.0295163,11.3137,4.7193995898974,14.0341786995632,4.84229997927704,"1","1"
2912,22.89416,88.92323,298.689424,3,0,-0.108158,0.00701301,5239.27,9,0,0.108158,0.471065,0.0294379,5.19615,4.57969354853622,7.26289118811602,6.36413983239316,"1","1"
2913,22.91552,89.09442,259.067358,12,198.435,0,0.0548247,1410.32,9,-0.086526,-0.086526,2.97667,0.0286355,14.8324,6.64869063027894,64.069435943005,5.69548367184151,"1","1"
2914,22.91476,89.1239,201,12,233.13,-0.108158,0.0573984,468.615,9,-0.086526,0.0216315,2.35405,0.0284354,12.6491,5.95554344971899,42.2700637827762,5.00233649128156,"1","2"
2915,22.91957,89.10693,259.067358,6,-1,0,0.0540609,848.528,9,0,0,0,0.0286355,3.60555,5.25939204611309,17.4773920627433,5.68725317270499,"1","1"
2916,22.92656,89.06849,259.067358,7,45,0,0.0528454,1872.78,9,0,0,0.333097,0.0289129,5.65685,8.54804098638649,139.585948242485,8.67094137576614,"1","1"
2917,22.90823,89.07593,199.644,11,198.435,-0.108158,0.0556458,2881.25,9,0,0.108158,0.744795,0.0287507,9.74679,5.1737342749856,24.9678197657918,4.39544965500602,"1","1"
2918,22.92004,89.09919,220,10,221.424,0.324473,0.0540327,900,9,0.200487,-0.123985,5.32463,0.0286355,12.6491,5.77028417470209,33.5201223118592,5.18300652003704,"1","1"
2919,22.86034,89.03041,335.26,7,120.964,-0.108158,0.0611068,8707.34,9,0,0.108158,1.37315,0.0288233,9.79796,4.7193995898974,14.0341786995632,4.84229997927704,"1","2"
2920,22.86554,89.02805,219.45,7,-1,0,0.0636502,9187.5,9,0,0,0,0.0288233,5.65685,8.24576011451356,116.432534801896,8.3686605038932,"1","1"
2921,22.89927,89.03284,231.64,8,-1,0,0.0621184,6577.32,9,0,0,0,0.0290754,6,6.6444845552392,48.7569154123544,6.50229017087397,"1","2"
2922,22.89558,89.035,192,8,108.435,-0.108158,0.0626927,6708.2,9,0,0.108158,0.744795,0.0290754,8.94427,6.93216662769098,57.942798171269,6.78997224332575,"1","1"
2923,22.86518,89.01977,213.36,7,-1,0,0.0619905,9914.81,9,0,0,0,0.0288233,5.65685,6.10569395101729,32.2420759718454,6.22859434039693,"1","1"
2924,22.85448,89.0721,179.832,5,225,-0.43263,0.0627114,4760.18,9,-0.243354,0.189276,2.33042,0.0285795,9.79796,6.46549580616591,31.8380386626161,7.25259576527387,"1","1"
2925,22.86377,89.08253,103,6,315,0,0.0625402,4105.73,9,0.0540788,0.0540788,1.9978,0.0284917,4.89898,4.56624486555315,11.5307785432346,4.99410599214505,"1","1"
2926,22.84729,89.0854,201.16,5,-1,0,0.0634377,3184.53,9,0,0,0,0.0282923,8.66025,5.77234862560596,21.0052719394076,6.55944858471392,"1","1"
2927,22.86392,89.10389,259.07,6,225,0,0.0652082,2068.48,9,0,0,1.33216,0.028371,7.48331,4.56624486555315,11.5307785432346,4.99410599214505,"1","1"
2928,22.829167,89.129167,137.77,6,-1,0,0.0706028,60,10,0,0,0,0.027816,3.60555,5.95253922667304,26.4907726888974,6.38040035326494,"1","1"
2929,22.87612,89.11199,259.067358,6,198.435,-0.216315,0.065095,890.955,9,-0.135197,0.0811181,0.744795,0.0282122,6.7082,5.66485715422126,22.2910940438656,6.09271828081315,"1","1"
2930,22.83016,89.11548,259.067358,5,-1,0,0.0682789,182.483,9,0,0,0,0.027816,4.89898,7.88256182595255,74.5076176995282,8.66966178506051,"1","1"
2931,22.85853,89.11277,174,6,251.565,-0.108158,0.0697519,1138.42,9,0,0.108158,0.744795,0.0281293,6.245,4.56624486555315,11.5307785432346,4.99410599214505,"1","1"
2932,22.883333,89.108333,216,11,71.565,-0.108158,0.0617841,810.555,9,0,0.108158,0.744795,0.0284642,12.6491,5.1737342749856,24.9678197657918,4.39544965500602,"1","1"
2933,22.8889,89.08542,170.688,7,-1,0,0.0589733,3150,9,0,0,0,0.0285233,5.65685,7.76392202762082,87.2004204618744,7.88682241700046,"1","1"
2934,22.90044,89.08721,195.072,9,71.565,-0.108158,0.0571577,2821.44,9,-0.0648945,0.043263,2.23338,0.0286628,9.74679,6.35719487437731,44.4233180297147,5.9804147109214,"1","1"
2935,22.88169,89.07674,259.067358,7,71.565,-0.108158,0.0597312,4054,9,0,0.108158,0.744795,0.0285233,9.74679,4.7193995898974,14.0341786995632,4.84229997927704,"1","2"
2936,22.89952,89.10042,259.067358,7,14.0362,-0.216315,0.0575097,1470,9,0,0.216315,1.94155,0.0285127,12.1244,5.41254677045734,21.2718371522953,5.53544715983699,"1","1"
2937,22.83363,88.99046,259.067358,10,45,0,0.0417432,11699.1,9,-0.0270394,-0.0270394,2.33042,0.0291734,9.21954,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2938,22.83673,88.99076,196.596,5,78.6901,-0.216315,0.0427229,11837.7,9,-0.135197,0.0811181,1.20084,0.0291734,8.66025,8.52918899087761,109.823844674731,9.31628894998556,"1","1"
2939,22.820833,88.975,220,5,135,0.216315,0.0275075,12676.1,9,0.189276,-0.0270394,1.66504,0.029139,8.06226,4.38605426448607,9.14307565951977,5.17315422359403,"1","1"
2940,22.8199,88.97064,259.067358,4,-1,0,0.0207816,13080.1,9,0,0,0,0.029139,4.47214,5.55315804838749,15.8259545187945,6.77770215073394,"1","1"
2941,22.86056,89.00105,259.067358,10,161.565,0.108158,0.0554824,11503.1,9,0.151421,0.043263,2.23338,0.0290558,10.9545,5.07713699414214,22.1150332802866,4.4898593394771,"1","1"
2942,22.836342,88.984274,180,5,135,0,0.0393114,12423.7,9,0,0,0.999202,0.0291734,12,5.77234862560596,21.0052719394076,6.55944858471392,"1","1"
2943,22.89981,88.99532,259.067358,9,305.538,0.108158,0.0593775,9674.57,9,0.108158,0,2.02533,0.0293208,11.5326,4.97090051325742,19.3363722671255,4.59412034980151,"1","1"
2944,22.918056,89.006944,162,6,-1,0,0.0563374,7779.2,9,0,0,0,0.0292662,6.7082,6.76346944288937,43.0927427674862,7.19133056948126,"1","1"
